id,user_id,trail_id,body,helpfulness,reported,timestamp
1,20,5,Total motivating core,2,,2021-06-01T09:25:01Z
2,22,4,Open-source 4th generation product,3,,2022-04-13T17:33:15Z
3,30,1,Diverse regional application,0,,2021-11-18T05:52:25Z
4,64,3,Multi-tiered full-range data-warehouse,2,,2022-02-28T17:26:25Z
5,33,4,Front-line 24/7 productivity,2,,2021-06-15T20:31:16Z
6,25,1,Managed neutral capacity,0,,2022-03-08T19:05:50Z
7,90,4,Pre-emptive tertiary groupware,0,,2022-01-25T14:08:41Z
8,63,1,Multi-lateral content-based algorithm,0,,2022-02-08T02:14:27Z
9,50,1,Quality-focused fresh-thinking frame,0,,2021-05-16T17:38:06Z
10,78,3,Enhanced local attitude,1,,2022-03-21T07:08:27Z
11,70,5,Re-engineered upward-trending algorithm,2,,2022-02-05T00:49:43Z
12,17,4,User-centric holistic paradigm,1,,2021-12-15T13:31:14Z
13,77,2,Inverse contextually-based solution,0,,2022-03-26T00:47:31Z
14,41,5,Centralized multi-tasking projection,0,,2021-07-10T16:30:18Z
15,70,4,Profound object-oriented internet solution,0,,2021-09-13T14:51:12Z
16,63,4,Robust background leverage,1,,2021-11-28T23:49:30Z
17,64,3,Future-proofed local circuit,2,,2022-01-31T21:51:55Z
18,2,4,Re-contextualized cohesive success,1,,2021-12-07T03:45:59Z
19,77,3,Optional 5th generation array,2,,2021-06-30T08:15:21Z
20,47,4,Persevering logistical forecast,1,,2021-07-04T18:29:58Z
21,86,4,Reactive neutral service-desk,0,,2021-11-17T09:33:29Z
22,72,3,Enterprise-wide leading edge algorithm,0,,2022-04-05T14:03:48Z
23,45,5,Persistent multi-state model,2,,2022-03-24T07:19:47Z
24,51,1,Operative object-oriented parallelism,0,,2021-07-17T22:35:02Z
25,79,2,Grass-roots radical matrix,0,,2021-12-26T17:54:30Z
26,41,4,Configurable human-resource neural-net,0,,2022-03-05T17:58:25Z
27,95,2,Distributed bandwidth-monitored frame,0,,2021-08-23T13:18:53Z
28,80,5,Re-contextualized impactful framework,1,,2022-01-10T03:56:33Z
29,33,4,Virtual static analyzer,3,,2022-05-06T04:29:35Z
30,97,3,Managed multimedia time-frame,3,,2021-06-26T02:04:07Z
31,76,5,Programmable scalable focus group,1,,2022-02-22T13:00:42Z
32,19,2,Visionary high-level emulation,3,,2021-08-15T13:08:40Z
33,57,1,Right-sized context-sensitive projection,0,,2021-09-16T15:01:41Z
34,76,4,Customizable system-worthy methodology,0,,2022-03-07T16:33:30Z
35,77,3,Managed bandwidth-monitored neural-net,0,,2021-06-20T18:07:10Z
36,98,3,Reactive didactic knowledge base,2,,2021-07-10T13:26:32Z
37,23,4,Up-sized bi-directional pricing structure,0,,2022-04-22T02:00:09Z
38,1,4,Adaptive dynamic adapter,3,,2022-01-13T11:25:07Z
39,4,2,Fully-configurable attitude-oriented framework,0,,2022-03-21T06:20:42Z
40,59,3,Ergonomic object-oriented challenge,1,,2022-02-10T20:30:05Z
41,6,5,Streamlined human-resource firmware,0,,2021-09-23T00:16:09Z
42,31,2,Triple-buffered clear-thinking infrastructure,2,,2021-10-27T14:36:44Z
43,33,3,Ergonomic background algorithm,2,,2021-10-21T20:44:41Z
44,28,3,Inverse bottom-line portal,2,,2021-05-29T15:23:49Z
45,69,1,Optional human-resource encryption,0,,2021-10-23T11:23:28Z
46,35,1,Extended object-oriented portal,0,,2021-12-04T00:22:41Z
47,94,3,Public-key uniform matrix,0,,2021-08-20T03:32:45Z
48,41,3,Multi-layered didactic task-force,3,,2021-07-04T03:40:34Z
49,61,2,Cross-platform intermediate initiative,1,,2022-03-27T19:24:33Z
50,98,5,Horizontal motivating customer loyalty,3,,2021-11-30T13:56:49Z
51,69,1,Persevering background interface,3,,2021-12-13T02:48:19Z
52,80,4,Innovative uniform synergy,1,,2021-10-14T14:57:16Z
53,26,2,Reduced multi-tasking capacity,3,,2021-09-29T11:08:11Z
54,92,4,Cross-platform intermediate interface,1,,2021-12-27T01:23:41Z
55,17,5,Programmable fault-tolerant analyzer,1,,2021-05-10T23:38:03Z
56,96,4,Centralized neutral website,0,,2021-05-16T09:10:37Z
57,85,2,Fully-configurable web-enabled process improvement,0,,2021-09-19T04:25:58Z
58,85,2,Upgradable user-facing encoding,2,,2021-08-31T09:30:49Z
59,75,2,Organic encompassing groupware,0,,2021-12-15T22:25:25Z
60,85,2,Streamlined dynamic collaboration,1,,2022-01-19T04:54:01Z
61,40,3,Multi-layered multi-tasking focus group,3,,2022-02-20T21:59:52Z
62,52,4,Diverse empowering infrastructure,0,,2022-01-23T06:10:52Z
63,85,1,Expanded multi-state policy,0,,2021-07-13T06:05:50Z
64,96,5,Profound coherent time-frame,2,,2022-03-17T23:10:40Z
65,1,2,Programmable client-server knowledge base,0,,2021-06-15T01:46:35Z
66,2,3,Automated regional parallelism,0,,2021-12-23T00:48:26Z
67,71,3,Virtual well-modulated hierarchy,0,,2021-07-30T11:01:56Z
68,5,4,Business-focused object-oriented local area network,2,,2022-02-20T08:28:12Z
69,67,1,Ameliorated value-added definition,3,,2021-05-19T14:27:51Z
70,93,4,Horizontal value-added hardware,3,,2022-01-03T04:13:35Z
71,49,2,Focused value-added neural-net,1,,2021-05-20T05:07:58Z
72,13,2,Profit-focused 3rd generation info-mediaries,0,,2021-08-23T17:22:31Z
73,94,4,Upgradable directional collaboration,3,,2021-10-29T00:20:27Z
74,13,2,Compatible mission-critical algorithm,3,,2021-07-06T18:51:10Z
75,13,2,Organized bifurcated function,2,,2022-04-17T22:14:29Z
76,60,3,Enterprise-wide homogeneous framework,0,,2022-02-16T19:34:59Z
77,91,2,Phased systematic protocol,3,,2022-02-03T02:55:11Z
78,50,2,Self-enabling 24 hour open architecture,3,,2021-11-05T21:45:33Z
79,21,2,Re-engineered bottom-line function,2,,2021-10-03T05:21:26Z
80,67,4,Mandatory tertiary architecture,2,,2021-12-26T15:40:31Z
81,18,3,Persevering demand-driven frame,0,,2022-01-04T19:09:59Z
82,11,4,Up-sized attitude-oriented synergy,0,,2021-07-09T22:46:27Z
83,23,3,Operative stable interface,1,,2022-05-05T02:15:59Z
84,99,3,Extended web-enabled monitoring,0,,2022-04-02T09:42:09Z
85,80,1,Enhanced even-keeled knowledge user,0,,2021-10-28T19:35:39Z
86,56,5,Sharable object-oriented moderator,3,,2021-07-07T06:34:00Z
87,32,5,Optimized scalable customer loyalty,0,,2021-08-29T07:18:47Z
88,5,1,Grass-roots fault-tolerant framework,1,,2022-02-25T06:29:44Z
89,1,4,Configurable dynamic utilisation,0,,2021-05-16T12:16:48Z
90,84,1,Automated attitude-oriented core,0,,2021-05-25T15:22:47Z
91,23,2,Multi-channelled client-driven data-warehouse,0,,2021-11-17T13:39:40Z
92,4,2,Enhanced local intranet,0,,2021-06-28T20:51:13Z
93,98,5,Ameliorated national attitude,0,,2021-06-04T18:42:54Z
94,93,3,Pre-emptive methodical service-desk,0,,2021-08-25T20:05:44Z
95,85,1,Universal zero administration migration,2,,2022-03-29T13:42:54Z
96,34,2,Re-engineered even-keeled orchestration,1,,2021-12-18T05:45:09Z
97,52,3,Optional intangible website,2,,2021-08-16T07:26:22Z
98,5,4,De-engineered client-driven throughput,1,,2021-11-23T12:13:56Z
99,74,2,Profit-focused 24/7 local area network,0,,2022-01-28T11:09:08Z
100,55,2,Extended client-driven standardization,0,,2022-01-27T04:28:56Z